PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_PASS_YDS,AVG_PTS VS.,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RET TD,AVG_RK,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_SAFE,AVG_TGT,AVG_XPA,AVG_XPM,AVG_YDS,BEST_RK,BLK KICK,BOOM,BUST,DEF TD,DEPTH,FAN PTS,FULL_SOS,FUMR,INT,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,PASS_YDS,PLAYOFF_SOS,POS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_AVG_RK,PPR_BEST_RK,PPR_BOOM,PPR_BUST,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_STARTER,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,PTS VS.,REC,REC_TDS,REC_YDS,RET TD,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,SAFE,SEASON_SOS,STARTER,STD.DEV_RK,TEAM,TGT,TIERS,WORST_RK,XPA,XPM,YDS
CHRISTIAN WATSON,,,,,,,,,,,,,8.1,,,,,,,0.0,0.0,,3.1,0.6,46.9,,80.9,0.4,0.0,1.2,,,5.9,,,,36.0,,11.0,44.0,,2.0,73.3,5.0,,,,,,,0.0,0.0,17.0,WR,36.7,22.0,38.0,4.9,5.0,47.0,11.3,103.8,53.0,11.0,44.0,101.3,45.2,29.0,44.0,5.0,6.0,56.0,106.0,22.0,16.9,8.0,141.0,,28.0,5.0,422.0,,79.0,4.0,0.0,11.0,,,5.0,22.0,16.5,GB,53.0,7.0,114.0,,,
CHRISTOPHER BROOKS,,,,,,,,,,,,,2.6,,,,,,,,,,0.0,0.0,0.0,,361.5,4.8,0.0,26.5,,,0.0,,,,355.0,,0.0,75.0,,0.0,10.6,6.0,,,,,,,,,19.0,RB,134.1,124.0,135.0,9.8,11.0,151.0,2.6,,,0.0,75.0,10.6,127.4,117.0,133.0,8.5,11.0,139.0,,0.0,,,,,0.0,0.0,0.0,,497.0,19.0,0.0,106.0,,,5.0,0.0,6.5,MIA,0.0,16.0,368.0,,,
CHRISTOPHER RODRIGUEZ,,,,,,,,,,,,,3.3,,,,,,,0.0,0.0,,0.2,0.0,1.1,,296.6,4.6,0.2,22.5,,,0.2,,,,231.0,,0.0,90.0,,3.0,35.9,16.0,,,,,,,0.0,0.0,28.0,RB,85.5,70.0,79.0,8.1,8.0,114.0,3.4,294.0,234.0,0.0,90.0,37.9,83.7,68.0,79.0,8.6,8.0,115.0,292.0,10.0,23.3,13.0,358.0,,2.0,0.0,12.0,,296.0,51.0,2.0,247.0,,,9.0,10.0,21.7,WAS,2.0,13.0,358.0,,,
CHUBA HUBBARD,,,,,,,,,,,,,8.4,,,,,,,0.0,0.0,,2.3,0.0,13.7,,138.7,14.0,0.3,53.1,,,2.6,,,,92.0,,6.0,19.0,,2.0,143.5,32.0,,,,,,,0.0,0.0,27.0,RB,44.1,30.0,43.0,5.5,6.0,57.0,10.7,143.3,101.0,6.0,19.0,182.5,44.4,31.0,43.0,4.7,6.0,56.0,136.0,50.0,14.0,9.0,181.0,,39.0,0.0,233.0,,136.0,238.0,5.0,902.0,,,31.0,38.0,17.5,CAR,44.0,9.0,180.0,,,
CINCINNATI BENGALS,,,,,,,,,,,0.0,0.1,6.9,0.5,1.0,,,,,0.0,0.0,0.0,,,,0.0,259.6,,,,2.6,0.0,,,,,160.0,0.0,,,1.0,,118.0,24.0,9.0,17.0,,,,,0.0,0.0,11.0,DEF,17.6,12.0,17.0,2.4,4.0,21.0,,259.9,160.0,,,,,,,,,,269.0,,42.5,12.0,355.0,0.0,,,,0.0,267.0,,,,44.0,0.0,29.0,,42.5,CIN,,12.0,355.0,,,
CJ BEATHARD,,,,,,,,,,,,,2.7,,,6.6,5.0,0.0,75%,,,,,,,,,1.0,0.0,4.4,0.8,,,,,43.6,,,0.0,100.0,,0.0,21.5,31.0,,,53.0,40.0,0.0,75%,,,31.0,,78.9,71.0,80.0,7.3,8.0,93.0,,,,0.0,100.0,,,,,,,,,0.0,,,,,,,,,,8.0,0.0,35.0,6.0,,28.0,0.0,,JAC,,,,,,349.0
CJ HAM,,,,,,,,,,,,,0.2,,,,,,,,,,0.4,0.0,1.5,,,0.1,0.0,0.4,,,0.5,,,,,,0.0,100.0,,0.0,3.2,26.0,,,,,,,,,30.0,,156.6,145.0,165.0,8.0,11.0,165.0,0.6,,,0.0,100.0,10.2,140.0,133.0,160.0,6.7,11.0,150.0,,0.0,,,,,7.0,0.0,25.0,,,1.0,0.0,7.0,,,16.0,0.0,,MIN,9.0,,,,,
CJ STROUD,,,,,,,,,,,,,18.7,,,33.3,21.3,0.3,64%,1.5,273.9,,,,,,49.1,2.6,0.2,11.1,2.5,,,,,273.9,34.0,,14.0,36.0,,1.0,280.0,27.0,,,499.0,319.0,5.0,64%,23.0,4108.0,28.0,QB,5.8,4.0,5.0,1.2,2.0,10.0,,49.3,34.0,14.0,36.0,,,,,,,,47.0,43.0,6.5,6.0,70.0,,,,,,49.0,39.0,3.0,167.0,38.0,,23.0,43.0,6.5,HOU,,5.0,70.0,,,4108.0
CJ UZOMAH,,,,,,,,,,,,,1.0,,,,,,,,,,0.7,0.1,4.8,,,0.0,0.0,0.0,,,1.0,,,,,,0.0,90.0,,0.0,11.8,31.0,,,,,,,,,24.0,,94.8,67.0,100.0,26.7,9.0,141.0,1.7,,,0.0,100.0,19.8,98.0,70.0,100.0,26.0,9.0,141.0,,0.0,,,,,8.0,1.0,58.0,,,0.0,0.0,0.0,,,30.0,0.0,,PHI,12.0,,,,,
CLAYTON TUNE,,,,,,,,,,,,,1.2,,,2.6,1.5,0.3,57%,,,,,,,,,1.0,0.1,3.8,0.9,,,,,7.8,,,0.0,100.0,,3.0,9.5,10.0,,,21.0,12.0,2.0,57%,,,9.0,,74.8,66.0,72.0,6.6,7.0,87.0,,,,0.0,100.0,,,,,,,,,0.0,,,,,,,,,,8.0,1.0,30.0,7.0,,13.0,0.0,,ARI,,,,,,62.0
